# Every POOL row read off an Edge Lab panel in this project.
# Counts are exact as printed; nothing here is derived.
#   n_l,n_s          signal trades in the long-signal / short-signal stratum
#   sig_l,sig_s      of those, how many reached the 2R target
#   mir_l,mir_s      how many of their MIRRORS reached it
#   i*               the same, restricted to the non-overlapping chain
#   h1,h2,hz         SPLIT: first-half lift, second-half lift, z of the difference
# Blank = that row was not captured for this chart.
instrument,tf,bars,n_l,n_s,sig_l,sig_s,mir_l,mir_s,i_n_l,i_n_s,i_sig_l,i_sig_s,i_mir_l,i_mir_s,h1,h2,hz
XAUUSD,5m,5131,108,100,39,37,37,31,31,28,6,7,14,11,2.5,5.6,-0.33
XAUUSD,15m,5191,102,111,35,44,33,36,21,30,3,13,10,10,11.7,-1.7,1.45
XAUUSD,30m,8413,152,151,41,42,58,54,42,43,12,12,20,17,1.3,-19.5,2.77
XAUUSD,4h,5744,83,106,29,31,25,45,31,31,7,9,13,16,-0.7,-10.4,0.97
BTCUSDT.P,15m,7545,125,137,44,60,32,50,41,43,16,17,11,16,15.6,2.6,1.57
BTCUSDT.P,30m,12461,234,211,68,64,91,78,64,78,16,25,24,26,-9.1,-7.8,0.20
BTCUSDT.P,4h,5944,108,104,31,28,38,36,31,35,8,9,10,15,-3.0,-8.7,0.63
XPTUSD,30m,8411,157,147,43,43,66,49,39,55,13,17,17,16,-13.8,-3.7,1.34
GBPJPY,30m,8865,133,193,43,58,48,76,43,59,14,21,17,23,3.5,-19.8,3.16
NAS100USD,30m,8431,158,185,43,57,59,62,55,46,21,13,16,18,-4.0,-7.8,0.54
ETHUSDT.P,30m,12454,221,217,85,65,66,70,,,,,,,,,
XAGUSD,30m,8408,154,131,53,39,61,45,,,,,,,,,
SOLUSDT.P,30m,12454,252,228,82,69,94,82,,,,,,,,,
LINKUSDT.P,30m,12454,257,240,92,84,80,75,,,,,,,,,
SPX,30m,5960,87,108,36,38,27,29,,,,,,,,,
BRENT,30m,8110,140,151,47,39,41,61,,,,,,,,,
USDJPY,30m,8860,109,205,42,67,30,71,,,,,,,,,
EURUSD,30m,8860,189,146,59,51,66,49,,,,,,,,,
WTICOUSD,30m,8408,132,162,44,41,37,63,,,,,,,,,
